0;28.52;23.46;23.94;0;0;94971.02
1;35.63;16.00;17.50;0;0;94965.36
2;49.04;10.66;12.01;0;0;94966.82
3;58.14;8.18;9.38;0;0;94965.13
4;64.49;6.70;7.92;0;0;94973.31
5;68.85;6.00;7.09;0;0;94971.34
6;71.50;5.56;6.55;0;0;94969.64
7;72.46;5.27;6.36;0;0;94974.23
8;73.71;5.15;6.22;0;0;94983.93
9;74.67;5.02;6.13;0;0;94982.14
10;74.77;4.97;6.12;0;0;94986.23
11;76.15;4.75;6.00;0;0;94978.69
12;76.36;4.78;5.96;0;0;94970.17
13;76.05;4.84;6.01;0;0;94970.69
14;76.98;4.88;6.04;0;0;94969.68
15;76.57;4.80;6.02;0;0;94969.30
16;76.26;4.85;5.99;0;0;94970.38
17;75.95;4.82;6.02;0;0;94972.31
18;76.26;4.84;6.02;0;0;94972.64
19;76.36;4.84;6.03;0;0;94973.77
20;76.40;4.65;5.91;0;0;94973.25
21;77.02;4.69;5.94;0;0;94972.16
22;76.57;4.78;6.03;0;0;94971.48
23;76.36;4.77;6.07;0;0;94966.23
24;76.46;4.88;6.20;0;0;94963.47
25;76.05;4.85;6.20;0;0;94966.31
26;75.63;4.85;6.23;0;0;94962.68
27;75.32;4.82;6.18;0;0;94966.16
28;75.84;4.75;6.10;0;0;94970.02
29;75.88;4.65;6.02;0;0;94965.55
30;76.46;4.75;6.02;0;0;94959.41
31;76.26;4.73;6.06;0;0;94958.72
32;76.36;4.73;6.03;0;0;94959.73
33;76.05;4.70;6.02;0;0;94966.27
34;76.67;4.85;6.14;0;0;94957.91
35;75.53;4.91;6.11;0;0;94958.81
36;76.78;4.80;6.02;0;0;94952.33
37;76.05;4.86;6.06;0;0;94951.28
38;76.26;4.85;6.07;0;0;94951.37
39;76.57;4.80;6.05;0;0;94948.61
40;75.95;4.80;6.02;0;0;94954.03
41;76.88;4.70;5.98;0;0;94955.05
42;77.95;4.55;5.85;0;0;94953.81
43;77.75;4.66;5.85;0;0;94950.45
44;76.78;4.72;5.85;0;0;94949.73
45;76.67;4.82;5.94;0;0;94949.30
46;76.57;4.88;6.03;0;0;94948.63
47;77.61;4.72;5.95;0;0;94949.38
48;77.85;4.66;5.90;0;0;94953.42
49;78.47;4.60;5.88;0;0;94959.17
50;78.37;4.54;5.83;0;0;94959.38
51;78.06;4.63;5.85;0;0;94960.73
52;77.12;4.66;5.88;0;0;94959.56
53;77.85;4.62;5.86;0;0;94959.84
54;77.81;4.70;5.92;0;0;94956.34
55;77.81;4.75;5.97;0;0;94963.80
56;78.33;4.80;6.04;0;0;94968.86
57;78.68;4.60;5.90;0;0;94966.40
58;78.89;4.52;5.82;0;0;94967.31
59;78.27;4.65;5.88;0;0;94959.98
60;77.95;4.63;5.85;0;0;94961.06
61;79.10;4.58;5.83;0;0;94957.42
62;79.44;4.48;5.73;0;0;94961.25
63;79.55;4.41;5.68;0;0;94963.17
64;79.65;4.45;5.74;0;0;94957.00
65;79.65;4.42;5.72;0;0;94952.52
66;79.13;4.48;5.75;0;0;94960.26
67;79.03;4.47;5.79;0;0;94958.11
68;79.65;4.42;5.70;0;0;94951.06
69;79.65;4.44;5.70;0;0;94939.80
70;79.82;4.55;5.77;0;0;94939.20
71;78.78;4.58;5.83;0;0;94942.63
72;79.20;4.58;5.82;0;0;94945.61
73;79.34;4.44;5.72;0;0;94943.97
74;79.30;4.52;5.76;0;0;94936.59
75;79.75;4.42;5.67;0;0;94933.73
76;80.06;4.37;5.60;0;0;94940.40
77;79.75;4.40;5.59;0;0;94942.04
78;79.10;4.54;5.64;0;0;94933.91
79;79.10;4.65;5.77;0;0;94931.61
80;78.23;4.73;5.85;0;0;94931.52
81;77.61;4.85;5.94;0;0;94926.94
82;77.61;4.82;5.96;0;0;94926.11
83;78.16;4.69;5.87;0;0;94922.52
84;78.12;4.70;5.83;0;0;94928.27
85;78.06;4.69;5.75;0;0;94931.28
86;77.95;4.66;5.79;0;0;94933.72
87;77.50;4.70;5.79;0;0;94926.70
88;77.19;4.82;5.90;0;0;94919.30
89;77.40;4.80;5.92;0;0;94918.80
90;77.09;4.70;5.92;0;0;94916.19
91;77.92;4.69;5.91;0;0;94916.03
92;77.23;4.65;5.91;0;0;94918.41
93;77.33;4.65;5.99;0;0;94917.48
94;77.29;4.78;6.07;0;0;94916.92
95;76.88;4.91;6.09;0;0;94914.62
96;77.09;4.86;6.04;0;0;94912.22
97;77.09;4.88;6.02;0;0;94911.91
98;77.71;4.75;5.94;0;0;94910.38
99;76.98;4.77;5.95;0;0;94911.25
100;77.40;4.82;6.01;0;0;94908.66
101;77.71;4.82;6.08;0;0;94906.47
102;77.19;4.92;6.16;0;0;94901.13
103;76.36;4.91;6.21;0;0;94902.22
104;76.67;4.88;6.17;0;0;94900.80
105;76.78;4.86;6.11;0;0;94899.55
106;77.29;4.85;6.06;0;0;94900.19
107;77.09;4.84;6.02;0;0;94904.02
108;77.50;4.80;5.99;0;0;94905.52
109;77.61;4.82;6.01;0;0;94908.17
110;77.29;4.86;6.00;0;0;94906.05
111;77.29;4.82;6.00;0;0;94906.97
112;77.71;4.82;5.94;0;0;94903.53
113;77.09;4.80;5.93;0;0;94909.41
114;77.19;4.84;5.93;0;0;94901.58
115;77.09;4.78;5.92;0;0;94904.36
116;77.29;4.70;5.82;0;0;94904.97
117;77.92;4.70;5.83;0;0;94903.08
118;77.81;4.72;5.83;0;0;94904.88
119;77.29;4.73;5.82;0;0;94904.94
120;76.57;4.84;5.91;0;0;94903.08
