ID;Humidity;Temperature1;Temperature2;Lux;UV;Pressure;Lat;Lon;Altitude;Speed;p25;p10
192;80.77;10.59;11.57;2061;118;96293.58;47.412605;8.502823;539.8;6.83;2.3;2.5
193;80.57;10.56;11.57;1952;106;96288.23;47.412548;8.502832;539.8;5.5;2.2;2.4
194;80.36;10.59;11.58;2642;185;96285.92;47.412495;8.502826;539.8;4.85;2.2;2.4
195;79.96;10.59;11.59;2802;168;96280.77;47.412437;8.502851;539.8;5.04;2.2;2.4
196;79.64;10.56;11.6;2642;123;96273.45;47.412376;8.502872;539.8;4.85;2;2.2
197;79.44;10.59;11.59;1729;78;96263.8;47.412342;8.502923;539.8;4.06;2;2.2
198;79.34;10.59;11.6;718;106;96261.09;47.412296;8.502963;539.7;4.7;1.9;2.1
199;79.13;10.6;11.59;1832;112;96256.22;47.412254;8.502988;539.7;4.04;1.8;2
200;79.03;10.6;11.59;1631;151;96252.7;47.412231;8.503;541.1;3.15;1.9;2.1
201;79.24;10.6;11.58;3422;219;96250.98;47.412189;8.503004;541.1;2.8;2;2.2
202;79.34;10.6;11.57;3940;208;96246.22;47.412151;8.503017;540.9;2.78;2;2.2
203;79.44;10.59;11.58;3230;213;96246.7;47.412106;8.503012;540.9;3.41;2;2.2
204;79.24;10.59;11.58;2604;196;96240.44;47.412067;8.503039;539.3;2.59;2.1;2.3
205;79.03;10.6;11.59;3388;174;96238.52;47.412022;8.503045;539.3;3.74;2.1;2.3
206;78.83;10.6;11.59;3061;202;96233.97;47.41198;8.503092;539.3;3.28;2;2.2
207;78.52;10.61;11.6;3167;191;96231.98;47.411915;8.503116;539.3;4.46;2;2.2
208;78.42;10.61;11.61;3135;180;96229.83;47.411877;8.503147;538.9;4.37;2;2.2
209;78.31;10.63;11.62;2873;219;96220.86;47.411884;8.50317;538.9;2.39;1.9;2.1
210;78.11;10.61;11.62;4352;241;96214.27;47.411865;8.503197;538.9;2;1.9;2
211;78.01;10.63;11.63;5037;258;96214.92;47.41188;8.503243;538.3;3.26;1.9;2
212;78.01;10.63;11.62;4751;298;96212.84;47.411854;8.503337;538.3;5.22;1.9;2
213;78.11;10.63;11.62;4801;326;96207.02;47.41185;8.503422;537.1;4;1.9;2
214;78.21;10.64;11.62;5846;337;96202.47;47.411808;8.503482;537.1;4.93;1.9;2
215;78.31;10.64;11.62;5637;326;96201.25;47.411777;8.503534;537.1;5.48;1.9;2
216;78.52;10.64;11.62;5763;326;96199.52;47.411736;8.50355;538.9;4.41;2.1;2.2
217;78.72;10.66;11.61;5772;371;96189.45;47.411686;8.503595;538.9;5.56;2.1;2.3
218;79.03;10.64;11.62;7050;405;96192.02;47.411644;8.503646;538.9;5.59;2.4;2.6
219;79.13;10.66;11.61;6966;421;96188.91;47.411606;8.503699;546.5;5.7;2.4;2.6
220;78.83;10.66;11.6;6782;382;96191.61;47.411572;8.503738;548.1;5.72;2.5;2.7
221;78.31;10.66;11.59;6110;360;96188.66;47.411552;8.503763;549.1;6.24;2.5;2.7
222;77.56;10.66;11.58;6766;371;96185.48;47.411522;8.503806;549.1;6.17;2.5;2.7
223;76.98;10.64;11.57;6719;365;96190.35;47.411476;8.503888;551.1;5.87;2.5;2.7
224;76.57;10.64;11.56;7611;416;96182.12;47.411446;8.503922;551.1;5.07;2.6;2.9
225;76.37;10.66;11.55;6794;399;96184.77;47.411415;8.503963;551.1;5.93;2.5;2.8
226;76.27;10.66;11.55;8156;331;96188.56;47.411377;8.50401;551.1;5.74;2.4;2.9
227;76.47;10.64;11.56;5733;371;96191.52;47.411331;8.504059;551.1;6.52;2.3;2.8
228;76.47;10.66;11.56;6358;376;96193.83;47.411289;8.504108;551.1;6.72;2.1;2.6
229;76.54;10.67;11.59;7388;433;96199.2;47.41124;8.504168;551.1;7.82;2.1;2.5
230;76.43;10.68;11.6;6708;421;96200.19;47.411217;8.50425;548.9;8.11;2.1;2.5
231;76.54;10.7;11.62;5711;405;96209.82;47.411171;8.504307;548.9;6.72;2.1;2.6
232;76.64;10.7;11.63;5753;343;96208.39;47.41114;8.504344;545.2;6.43;2.1;2.5
233;76.75;10.7;11.64;4928;376;96215.08;47.411095;8.504415;545.2;7.26;2.1;2.3
234;76.95;10.71;11.65;7018;365;96218.59;47.411045;8.50448;545.2;6.06;2.2;2.4
235;77.05;10.73;11.65;4189;180;96220.89;47.411007;8.504527;545.2;5.41;2.2;2.4
236;77.05;10.73;11.66;220;0;96221.7;47.410973;8.504596;545.2;6.11;2.3;2.5
237;77.05;10.71;11.66;113;5;96221.97;47.410938;8.504723;545.2;9.24;2.4;2.6
238;76.95;10.71;11.66;28;0;96224.94;47.410923;8.504766;545.2;8.33;2.4;2.6
239;76.84;10.7;11.65;0;11;96225.67;47.410881;8.504828;545.2;6.44;2.4;2.6
240;76.75;10.7;11.64;373;0;96227;47.410858;8.504892;545.2;6;2.3;2.5
241;76.54;10.68;11.64;41;0;96227.16;47.410835;8.504935;545.2;4.02;2.3;2.4
242;76.43;10.68;11.64;696;67;96231.78;47.410801;8.504992;533.7;5.43;2.2;2.3
243;76.34;10.68;11.64;1443;73;96222.06;47.410755;8.505012;533.7;5.5;2.1;2.2
244;76.23;10.67;11.63;1298;95;96215.15;47.410706;8.505002;533.7;6.39;2.2;2.4
245;76.13;10.66;11.63;1590;118;96209.64;47.410652;8.504978;530;6.7;2.2;2.4
246;76.03;10.66;11.63;1845;129;96206.52;47.410629;8.504972;530;3.8;2.1;2.3
247;76.03;10.66;11.62;2502;163;96196.2;47.410583;8.504965;530;5.15;2.1;2.3
248;75.96;10.64;11.62;3355;219;96190.44;47.41053;8.504943;530;6.82;2;2.2
249;75.96;10.64;11.62;5231;258;96191.42;47.410465;8.504928;530;6.8;2.1;2.3
250;75.96;10.66;11.63;5871;303;96197.52;47.410431;8.504938;530;6.15;2;2.2
251;75.86;10.64;11.62;5166;331;96188.13;47.410366;8.504961;530;6.17;2;2.2
252;75.86;10.66;11.63;4422;292;96189.21;47.410336;8.505012;530;7.07;2.2;2.4
253;75.86;10.63;11.64;3711;320;96195.95;47.410313;8.50509;530;6.28;2.2;2.4
254;76.06;10.66;11.62;7067;315;96194.72;47.410282;8.505159;530;7.93;2.3;2.5
255;76.17;10.64;11.64;6457;382;96196.12;47.410282;8.505159;530;7.93;2.2;2.4
256;76.27;10.66;11.63;6504;343;96198.94;47.410282;8.505159;530;7.93;2.1;2.3
257;76.57;10.64;11.63;5117;337;96191.75;47.410282;8.505159;530;7.93;2;2.2
258;76.78;10.64;11.64;8124;427;96183.27;47.40995;8.505438;524.7;4.83;2;2.2
259;76.88;10.64;11.63;7439;405;96180.48;47.409912;8.505437;524.7;5.19;2;2.2
260;76.88;10.63;11.62;6361;405;96180.38;47.409836;8.50535;524.7;8.17;2;2.2
261;76.78;10.64;11.62;6791;450;96171.81;47.409782;8.505272;524.7;7.46;2;2.2
262;76.57;10.63;11.63;6380;343;96169.44;47.409767;8.505214;524.7;4.15;1.9;2
263;76.37;10.64;11.63;6313;348;96164.06;47.409729;8.505129;524.7;5.32;1.9;2
264;76.27;10.66;11.64;6698;360;96168.83;47.409687;8.505064;524.7;6.32;1.9;2
265;76.17;10.64;11.64;6679;337;96162.34;47.409672;8.505061;529;5.39;1.9;2.1
266;76.27;10.66;11.63;5080;326;96159.61;47.409634;8.505045;529.1;6.28;1.9;2.1
267;76.23;10.66;11.64;5470;281;96160.86;47.409584;8.505015;529.1;7.11;1.8;1.9
268;76.17;10.64;11.64;4901;275;96159.05;47.409554;8.505013;527.3;6.44;1.8;1.9
269;75.96;10.67;11.65;4244;230;96157.22;47.409531;8.50505;525.9;6.76;1.8;1.9
270;75.82;10.67;11.65;2798;151;96150.85;47.409512;8.505082;525.3;6.24;1.7;1.8
271;75.82;10.68;11.66;2136;123;96152.48;47.409489;8.505114;524.4;5.93;1.8;1.9
272;75.72;10.68;11.68;1802;118;96154.02;47.409477;8.505132;523.9;5.74;1.7;1.8
273;75.72;10.7;11.69;1632;112;96154.93;47.40947;8.505173;522.7;5.83;1.8;1.9
274;75.72;10.73;11.7;1645;123;96153.84;47.409454;8.505214;522.7;6;1.8;1.9
275;75.72;10.71;11.72;1836;112;96157.53;47.409424;8.505284;522.7;4.54;1.9;2.1
276;75.72;10.71;11.7;1893;112;96154.83;47.409416;8.505325;521.2;6.67;1.9;2.1
277;75.72;10.7;11.67;1667;123;96156.59;47.409405;8.505377;522.4;6.2;2;2.2
278;75.72;10.68;11.67;2075;123;96151.98;47.409397;8.505429;522.4;6.8;2;2.2
279;75.72;10.67;11.66;1791;112;96147.88;47.40937;8.505486;525.1;6.35;1.9;2.1
280;75.62;10.68;11.66;1908;90;96139.41;47.409351;8.505543;525.1;5.72;1.9;2.1
281;75.42;10.67;11.67;567;0;96139.38;47.409336;8.505602;525.7;6.07;1.9;2.1
282;75.31;10.67;11.66;3;0;96138.16;47.409309;8.505713;525.7;7.7;1.8;2
283;75.42;10.68;11.67;2;0;96138.97;47.409286;8.505748;524.9;6.07;1.9;2.1
284;75.62;10.68;11.68;48;0;96139.78;47.409271;8.505801;524.9;5.7;1.8;2
285;75.93;10.7;11.68;113;5;96127.58;47.409256;8.505862;524.9;5.67;1.8;1.9
286;76.34;10.71;11.7;200;22;96121.62;47.40926;8.505907;527;3.98;1.9;2
287;76.54;10.71;11.72;1045;73;96109.43;47.409252;8.505979;527.3;4.78;2;2.1
