ID;Humidity;Temperature1;Temperature2;Lux;UV;Pressure;Lat;Lon;Altitude;Speed;p25;p10
188;80.47;8.11;9.12;52;0;96361.45;8.509668732;47.4133991;515.4;1.24;21.1;26.1
189;80.47;8.1;9.11;44;0;96365.55;8.50966711;47.41345216;515.4;1.24;20.9;25.7
190;80.47;8.08;9.1;48;0;96368.02;8.509665488;47.41350521;515.4;1.24;21.2;26.3
191;80.47;8.07;9.08;48;0;96368.34;8.509663866;47.41355827;515.4;1.24;21;24.9
192;80.47;8.05;9.07;49;0;96372.11;8.509662244;47.41361132;515.4;1.24;21.1;25.6
193;80.57;8.04;9.06;43;0;96373.91;8.509661331;47.41364117;515.4;1.24;21.2;25.7
194;80.67;8.02;9.05;45;0;96381.13;8.509643913;47.4136929;515.4;1.24;21.4;26.9
195;80.77;8.02;9.05;54;0;96390.81;8.509626495;47.41374463;515.4;1.24;21.2;27.3
196;80.88;8.04;9.03;81;0;96393.3;8.509609077;47.41379636;515.4;1.24;21.1;27.9
197;80.98;8.02;9.03;45;0;96397.08;8.509591659;47.4138481;515.4;1.24;21;27.7
198;81.09;8.01;9.01;44;0;96404.3;8.509574241;47.41389983;515.4;1.24;21.1;27.9
199;81.19;8.01;9.01;49;0;96410.2;8.509556822;47.41395156;515.4;1.24;20.8;27.3
200;81.19;8;9.01;65;0;96419.95;8.509539404;47.41400329;515.4;1.24;20.8;27.8
201;81.29;8;9;44;0;96421.92;8.509521986;47.41405502;515.4;1.24;20.6;27.8
202;81.39;7.98;8.99;38;0;96423.23;8.509504568;47.41410675;515.4;1.24;20.6;28.2
203;81.39;8;8.99;49;0;96426.02;8.509487149;47.41415849;515.4;1.24;20.5;27.3
204;81.43;8;9;66;0;96434.16;8.509469731;47.41421022;515.4;1.24;20.3;26.7
205;81.53;7.98;8.98;38;0;96436.45;8.509452312;47.41426195;515.4;1.24;20;25.4
206;81.74;7.98;8.98;37;0;96439.14;8.509434894;47.41431368;515.4;1.24;19.9;28.4
207;81.95;7.97;8.99;37;0;96444;8.509417475;47.41436541;515.4;1.24;19.8;29.5
208;82.15;7.98;8.99;42;0;96446.95;8.509400057;47.41441714;515.4;1.24;19.8;31.9
209;82.25;7.97;8.98;58;0;96449.74;8.509382638;47.41446887;515.4;1.24;20;33.1
210;82.25;7.95;8.97;36;0;96454.98;8.50936522;47.41452061;515.4;1.24;20;31.6
211;82.15;7.93;8.94;35;0;96454.32;8.509347801;47.41457234;515.4;1.24;19.8;30.6
212;82.15;7.92;8.92;27;0;96456.61;8.509330382;47.41462407;515.4;1.24;19.8;30.6
213;82.15;7.9;8.91;46;0;96459;8.509312964;47.4146758;515.4;1.24;19.4;30
214;82.25;7.89;8.9;83;0;96461.88;8.509295545;47.41472753;515.4;1.24;19.8;31.3
215;82.25;7.87;8.89;24;0;96467.2;8.509278126;47.41477926;515.4;1.24;19.9;30.6
216;82.35;7.86;8.87;28;0;96468.34;8.509260707;47.414831;515.4;1.24;19.7;29.2
217;82.35;7.86;8.87;38;0;96472.2;8.50925683;47.41484251;515.4;1.24;20;27.5
218;82.46;7.85;8.86;69;0;96473.58;8.509196942;47.41487662;515.4;1.24;20;27
219;82.56;7.86;8.86;20;0;96475.48;8.509137054;47.41491073;515.4;1.24;19.8;26.9
220;82.56;7.83;8.84;24;0;96475.24;8.509077166;47.41494484;515.4;1.24;19.7;27.3
221;82.67;7.83;8.83;46;0;96478.09;8.509017277;47.41497895;515.4;1.24;19.7;27.5
222;82.67;7.83;8.83;58;0;96480.88;8.508957389;47.41501306;515.4;1.24;20.1;28.3
223;82.77;7.8;8.81;25;0;96481.03;8.508897501;47.41504717;515.4;1.24;20;27.6
224;82.87;7.82;8.81;41;0;96485.47;8.508837612;47.41508128;515.4;1.24;19.8;27.2
225;82.87;7.79;8.79;45;0;96484.14;8.508777724;47.41511539;515.4;1.24;20.1;26.9
226;82.97;7.77;8.77;70;0;96487.19;8.508717835;47.4151495;515.4;1.24;19.9;26.2
227;82.97;7.77;8.77;30;0;96486.03;8.508657946;47.41518361;515.4;1.24;19.8;24.9
228;83.01;7.74;8.76;31;0;96487.84;8.508598058;47.41521772;515.4;1.24;20;24.7
229;83.12;7.72;8.76;45;0;96490.06;8.508538169;47.41525183;515.4;1.24;20.2;24.8
230;83.12;7.71;8.74;65;0;96489.23;8.50847828;47.41528594;515.4;1.24;20.4;25
231;83.22;7.71;8.74;29;0;96492.19;8.508418391;47.41532005;515.4;1.24;20.3;24.6
232;83.32;7.69;8.72;38;0;96493.98;8.508358502;47.41535416;515.4;1.24;20.4;25
233;83.42;7.68;8.71;41;0;96497.98;8.508298613;47.41538827;515.4;1.24;20.4;25.3
234;83.42;7.68;8.71;63;0;96497;8.508238724;47.41542238;515.4;1.24;20.7;24.7
235;83.53;7.67;8.7;30;0;96494.89;8.508178834;47.41545649;515.4;1.24;21.1;25.4
236;83.63;7.64;8.7;31;0;96494.13;8.508118945;47.4154906;515.4;1.24;21.1;25.5
237;83.63;7.68;8.7;27;0;96497.91;8.508059056;47.4155247;515.4;1.24;21.2;25.1
238;83.73;7.64;8.69;69;0;96496.84;8.507999166;47.41555881;515.4;1.24;21.1;23.9
239;83.73;7.64;8.69;33;0;96502.33;8.507939276;47.41559292;515.4;1.24;21.4;24.4
240;83.84;7.63;8.68;29;0;96501.11;8.507879387;47.41562703;515.4;1.24;21.4;24.3
241;83.84;7.64;8.67;34;0;96503.62;8.507819497;47.41566114;515.4;1.24;21.4;24.9
242;83.94;7.64;8.68;65;0;96504.12;8.507759607;47.41569525;515.4;1.24;21.6;24.6
243;83.94;7.64;8.67;34;0;96504.45;8.507699717;47.41572936;515.4;1.24;21.7;24.9
244;84.05;7.64;8.68;31;0;96505.77;8.507639827;47.41576347;515.4;1.24;21.6;24.8
245;84.05;7.64;8.67;47;0;96507.73;8.507579937;47.41579758;515.4;1.24;21.4;24.9
246;84.14;7.64;8.67;26;0;96507.23;8.507520047;47.41583169;515.4;1.24;21.4;25
247;84.14;7.63;8.67;29;0;96511.83;8.507460157;47.4158658;515.4;1.24;21.6;26.1
248;84.25;7.64;8.66;30;0;96510.02;8.507400267;47.41589991;515.4;1.24;21.6;26.5
249;84.25;7.64;8.67;29;0;96522.98;8.507340376;47.41593401;515.4;1.24;21.5;26.5
250;84.35;7.67;8.67;22;0;96529.22;8.507280486;47.41596812;515.4;1.24;21.9;26.8
251;84.35;7.67;8.67;30;0;96539.88;8.507220595;47.41600223;515.4;1.24;22.2;27.5
252;84.35;7.67;8.67;53;0;96546.27;8.507160705;47.41603634;515.4;1.24;21.9;27.6
253;84.35;7.67;8.67;31;0;96552.67;8.507100814;47.41607045;515.4;1.24;21.9;27.3
254;84.35;7.67;8.68;24;0;96560.55;8.507040923;47.41610456;515.4;1.24;22;27
