PM10 Luftdaten;PM2.5 Luftdaten;PM10 Sense;PM2.5 Sense
2.7;2.5;2.1;2.3
2.7;2.5;2.4;2.6
2.7;2.5;2.4;2.6
2.7;2.5;2.5;2.7
2.7;2.5;2.5;2.7
2.7;2.5;2.5;2.7
2.7;2.5;2.5;2.7
2.7;2.5;2.6;2.9
2.57;2.37;2.5;2.8
2.57;2.37;2.4;2.9
2.57;2.37;2.3;2.8
2.57;2.37;2.1;2.6
2.57;2.37;2.1;2.5
2.57;2.37;2.1;2.5
2.57;2.37;2.1;2.6
2.57;2.37;2.1;2.5
2.57;2.37;2.1;2.3
2.57;2.37;2.2;2.4
2.57;2.37;2.2;2.4
2.57;2.37;2.3;2.5
2.57;2.37;2.4;2.6
2.57;2.37;2.4;2.6
2.57;2.37;2.4;2.6
2.57;2.37;2.3;2.5
2.57;2.37;2.3;2.4
2.57;2.37;2.2;2.3
2.57;2.37;2.1;2.2
2.57;2.37;2.2;2.4
2.57;2.37;2.2;2.4
2.57;2.37;2.1;2.3
2.57;2.37;2.1;2.3
2.57;2.37;2;2.2
2.57;2.37;2.1;2.3
2.57;2.37;2;2.2
2.57;2.37;2;2.2
2.57;2.37;2.2;2.4
2.93;2.7;2.2;2.4
2.93;2.7;2.3;2.5
2.93;2.7;2.2;2.4
2.93;2.7;2.1;2.3
2.93;2.7;2;2.2
2.93;2.7;2;2.2
2.93;2.7;2;2.2
2.93;2.7;2;2.2
2.93;2.7;2;2.2
2.93;2.7;1.9;2
2.93;2.7;1.9;2
2.93;2.7;1.9;2
2.93;2.7;1.9;2.1
2.93;2.7;1.9;2.1
2.93;2.7;1.8;1.9
2.93;2.7;1.8;1.9
2.93;2.7;1.8;1.9
2.93;2.7;1.7;1.8
2.93;2.7;1.8;1.9
2.93;2.7;1.7;1.8
2.93;2.7;1.8;1.9
2.93;2.7;1.8;1.9
2.93;2.7;1.9;2.1
2.93;2.7;1.9;2.1
2.93;2.7;2;2.2
2.93;2.7;2;2.2
2.93;2.7;1.9;2.1
2.93;2.7;1.9;2.1
;;;
;;;
;;;
;;;
;;;
;;;
;;;
