"Series;""Time"";""Value""",
"PM10;""2018-11-30T18:30:00+01:00"";37",75
"PM10;""2018-11-30T18:45:00+01:00"";37",432
"PM10;""2018-11-30T19:00:00+01:00"";37",143
"PM10;""2018-11-30T19:15:00+01:00"";36",813
"PM10;""2018-11-30T19:30:00+01:00"";36",454
"PM10;""2018-11-30T19:45:00+01:00"";36",76
"PM10;""2018-11-30T20:00:00+01:00"";35",743
"PM10;""2018-11-30T20:15:00+01:00"";35",369
"PM10;""2018-11-30T20:30:00+01:00"";35",13
"PM10;""2018-11-30T20:45:00+01:00"";34",649
"PM10;""2018-11-30T21:00:00+01:00"";34",25
"PM10;""2018-11-30T21:15:00+01:00"";33",833
"PM10;""2018-11-30T21:30:00+01:00"";33",351
"PM10;""2018-11-30T21:45:00+01:00"";32",862
"PM10;""2018-11-30T22:00:00+01:00"";32",439
"PM10;""2018-11-30T22:15:00+01:00"";32",3
"PM10;""2018-11-30T22:30:00+01:00"";31",536
"PM10;""2018-11-30T22:45:00+01:00"";31",143
"PM10;""2018-11-30T23:00:00+01:00"";30",713
"PM10;""2018-11-30T23:15:00+01:00"";30",334
"PM10;""2018-11-30T23:30:00+01:00"";30",43
"PM10;""2018-11-30T23:45:00+01:00"";29",798
"PM10;""2018-12-01T00:00:00+01:00"";29",581
"PM10;""2018-12-01T00:15:00+01:00"";29",353
"PM10;""2018-12-01T00:30:00+01:00"";29",105
"PM10;""2018-12-01T00:45:00+01:00"";28",89
"PM10;""2018-12-01T01:00:00+01:00"";28",71
"PM10;""2018-12-01T01:15:00+01:00"";28",481
"PM10;""2018-12-01T01:30:00+01:00"";28",298
"PM10;""2018-12-01T01:45:00+01:00"";28",113
"PM10;""2018-12-01T02:00:00+01:00"";27",985
"PM10;""2018-12-01T02:15:00+01:00"";27",878
"PM10;""2018-12-01T02:30:00+01:00"";27",78
"PM10;""2018-12-01T02:45:00+01:00"";27",669
"PM10;""2018-12-01T03:00:00+01:00"";27",383
"PM10;""2018-12-01T03:15:00+01:00"";25",881
"PM10;""2018-12-01T03:30:00+01:00"";24",746
"PM10;""2018-12-01T03:45:00+01:00"";24",672
"PM10;""2018-12-01T04:00:00+01:00"";24",655
"PM10;""2018-12-01T04:15:00+01:00"";24",619
"PM10;""2018-12-01T04:30:00+01:00"";24",572
"PM10;""2018-12-01T04:45:00+01:00"";24",512
"PM10;""2018-12-01T05:00:00+01:00"";24",476
"PM10;""2018-12-01T05:15:00+01:00"";24",458
"PM10;""2018-12-01T05:30:00+01:00"";24",458
"PM10;""2018-12-01T05:45:00+01:00"";24",515
"PM10;""2018-12-01T06:00:00+01:00"";24",649
"PM10;""2018-12-01T06:15:00+01:00"";24",734
"PM10;""2018-12-01T06:30:00+01:00"";24",583
"PM10;""2018-12-01T06:45:00+01:00"";24",441
"PM10;""2018-12-01T07:00:00+01:00"";24",385
"PM10;""2018-12-01T07:15:00+01:00"";24",393
"PM10;""2018-12-01T07:30:00+01:00"";24",365
"PM10;""2018-12-01T07:45:00+01:00"";24",303
"PM10;""2018-12-01T08:00:00+01:00"";24",232
"PM10;""2018-12-01T08:15:00+01:00"";24",149
"PM10;""2018-12-01T08:30:00+01:00"";24",31
"PM10;""2018-12-01T08:45:00+01:00"";23",883
"PM10;""2018-12-01T09:00:00+01:00"";23",765
"PM10;""2018-12-01T09:15:00+01:00"";23",712
"PM10;""2018-12-01T09:30:00+01:00"";23",613
"PM10;""2018-12-01T09:45:00+01:00"";23",491
"PM10;""2018-12-01T10:00:00+01:00"";23",306
"PM10;""2018-12-01T10:15:00+01:00"";23",201
"PM10;""2018-12-01T10:30:00+01:00"";23",149
"PM10;""2018-12-01T10:45:00+01:00"";23",124
"PM10;""2018-12-01T11:00:00+01:00"";22",957
"PM10;""2018-12-01T11:15:00+01:00"";22",819
"PM10;""2018-12-01T11:30:00+01:00"";22",649
"PM10;""2018-12-01T11:45:00+01:00"";22",531
"PM10;""2018-12-01T12:00:00+01:00"";22",485
"PM10;""2018-12-01T12:15:00+01:00"";22",433
"PM10;""2018-12-01T12:30:00+01:00"";22",258
"PM10;""2018-12-01T12:45:00+01:00"";22",3
"PM10;""2018-12-01T13:00:00+01:00"";21",833
"PM10;""2018-12-01T13:15:00+01:00"";21",609
"PM10;""2018-12-01T13:30:00+01:00"";21",443
"PM10;""2018-12-01T13:45:00+01:00"";21",34
"PM10;""2018-12-01T14:00:00+01:00"";21",213
"PM10;""2018-12-01T14:15:00+01:00"";21",17
"PM10;""2018-12-01T14:30:00+01:00"";21",11
"PM10;""2018-12-01T14:45:00+01:00"";21",
"PM10;""2018-12-01T15:00:00+01:00"";20",894
"PM10;""2018-12-01T15:15:00+01:00"";20",792
"PM10;""2018-12-01T15:30:00+01:00"";20",694
"PM10;""2018-12-01T15:45:00+01:00"";20",657
"PM10;""2018-12-01T16:00:00+01:00"";20",633
"PM10;""2018-12-01T16:15:00+01:00"";20",586
"PM10;""2018-12-01T16:30:00+01:00"";20",628
"PM10;""2018-12-01T16:45:00+01:00"";20",63
"PM10;""2018-12-01T17:00:00+01:00"";20",689
"PM10;""2018-12-01T17:15:00+01:00"";20",744
"PM10;""2018-12-01T17:30:00+01:00"";20",842
"PM10;""2018-12-01T17:45:00+01:00"";20",914
"PM10;""2018-12-01T18:00:00+01:00"";20",951
"PM10;""2018-12-01T18:15:00+01:00"";20",965
"PM10;""2018-12-01T18:30:00+01:00"";20",983
"PM10;""2018-12-01T18:45:00+01:00"";20",988
"PM10;""2018-12-01T19:00:00+01:00"";20",96
"PM10;""2018-12-01T19:15:00+01:00"";20",953
"PM10;""2018-12-01T19:30:00+01:00"";20",96
"PM10;""2018-12-01T19:45:00+01:00"";20",988
"PM10;""2018-12-01T20:00:00+01:00"";20",977
"PM10;""2018-12-01T20:15:00+01:00"";20",967
"PM10;""2018-12-01T20:30:00+01:00"";20",963
"PM10;""2018-12-01T20:45:00+01:00"";20",953
"PM10;""2018-12-01T21:00:00+01:00"";20",943
"PM10;""2018-12-01T21:15:00+01:00"";20",935
"PM10;""2018-12-01T21:30:00+01:00"";20",961
"PM10;""2018-12-01T21:45:00+01:00"";20",95
"PM10;""2018-12-01T22:00:00+01:00"";20",92
"PM10;""2018-12-01T22:15:00+01:00"";20",862
"PM10;""2018-12-01T22:30:00+01:00"";20",769
"PM10;""2018-12-01T22:45:00+01:00"";20",602
"PM10;""2018-12-01T23:00:00+01:00"";20",493
"PM10;""2018-12-01T23:15:00+01:00"";20",377
"PM10;""2018-12-01T23:30:00+01:00"";20",211
"PM10;""2018-12-01T23:45:00+01:00"";20",21
"PM10;""2018-12-02T00:00:00+01:00"";19",82
"PM10;""2018-12-02T00:15:00+01:00"";19",608
"PM10;""2018-12-02T00:30:00+01:00"";19",404
"PM10;""2018-12-02T00:45:00+01:00"";19",155
"PM10;""2018-12-02T01:00:00+01:00"";18",892
"PM10;""2018-12-02T01:15:00+01:00"";18",624
"PM10;""2018-12-02T01:30:00+01:00"";18",353
"PM10;""2018-12-02T01:45:00+01:00"";18",23
"PM10;""2018-12-02T02:00:00+01:00"";17",704
"PM10;""2018-12-02T02:15:00+01:00"";17",375
"PM10;""2018-12-02T02:30:00+01:00"";17",92
"PM10;""2018-12-02T02:45:00+01:00"";16",771
"PM10;""2018-12-02T03:00:00+01:00"";16",463
"PM10;""2018-12-02T03:15:00+01:00"";16",164
